Week,Searches
2013-06-16,77
2013-06-23,67
2013-06-30,67
2013-07-07,87
2013-07-14,76
2013-07-21,82
2013-07-28,79
2013-08-04,88
2013-08-11,89
2013-08-18,77
2013-08-25,70
2013-09-01,63
2013-09-08,65
2013-09-15,67
2013-09-22,70
2013-09-29,61
2013-10-06,60
2013-10-13,65
2013-10-20,69
2013-10-27,62
2013-11-03,74
2013-11-10,69
2013-11-17,64
2013-11-24,63
2013-12-01,53
2013-12-08,47
2013-12-15,46
2013-12-22,50
2013-12-29,45
2014-01-05,72
2014-01-12,82
2014-01-19,75
2014-01-26,65
2014-02-02,75
2014-02-09,77
2014-02-16,69
2014-02-23,58
2014-03-02,50
2014-03-09,75
2014-03-16,74
2014-03-23,89
2014-03-30,100
2014-04-06,77
2014-04-13,58
2014-04-20,76
2014-04-27,71
2014-05-04,74
2014-05-11,81
2014-05-18,81
2014-05-25,64
2014-06-01,68
2014-06-08,64
2014-06-15,67
2014-06-22,66
2014-06-29,64
2014-07-06,72
2014-07-13,69
2014-07-20,70
2014-07-27,65
2014-08-03,62
2014-08-10,63
2014-08-17,62
2014-08-24,64
2014-08-31,59
2014-09-07,58
2014-09-14,73
2014-09-21,61
2014-09-28,59
2014-10-05,66
2014-10-12,59
2014-10-19,57
2014-10-26,57
2014-11-02,55
2014-11-09,64
2014-11-16,62
2014-11-23,56
2014-11-30,52
2014-12-07,57
2014-12-14,49
2014-12-21,44
2014-12-28,42
2015-01-04,64
2015-01-11,73
2015-01-18,71
2015-01-25,76
2015-02-01,71
2015-02-08,62
2015-02-15,63
2015-02-22,64
2015-03-01,62
2015-03-08,67
2015-03-15,68
2015-03-22,76
2015-03-29,63
2015-04-05,58
2015-04-12,67
2015-04-19,74
2015-04-26,67
2015-05-03,70
2015-05-10,70
2015-05-17,71
2015-05-24,66
2015-05-31,72
2015-06-07,63
2015-06-14,57
2015-06-21,59
2015-06-28,62
2015-07-05,59
2015-07-12,58
2015-07-19,62
2015-07-26,65
2015-08-02,66
2015-08-09,61
2015-08-16,57
2015-08-23,62
2015-08-30,58
2015-09-06,59
2015-09-13,49
2015-09-20,55
2015-09-27,51
2015-10-04,48
2015-10-11,46
2015-10-18,53
2015-10-25,51
2015-11-01,52
2015-11-08,50
2015-11-15,50
2015-11-22,51
2015-11-29,50
2015-12-06,53
2015-12-13,43
2015-12-20,44
2015-12-27,33
2016-01-03,49
2016-01-10,64
2016-01-17,62
2016-01-24,66
2016-01-31,63
2016-02-07,66
2016-02-14,66
2016-02-21,63
2016-02-28,64
2016-03-06,53
2016-03-13,71
2016-03-20,67
2016-03-27,73
2016-04-03,66
2016-04-10,62
2016-04-17,58
2016-04-24,46
2016-05-01,51
2016-05-08,62
2016-05-15,57
2016-05-22,54
2016-05-29,60
2016-06-05,57
2016-06-12,52
2016-06-19,53
2016-06-26,56
2016-07-03,53
2016-07-10,44
2016-07-17,54
2016-07-24,56
2016-07-31,54
2016-08-07,59
2016-08-14,52
2016-08-21,54
2016-08-28,52
2016-09-04,50
2016-09-11,49
2016-09-18,49
2016-09-25,43
2016-10-02,49
2016-10-09,43
2016-10-16,50
2016-10-23,46
2016-10-30,50
2016-11-06,52
2016-11-13,43
2016-11-20,48
2016-11-27,46
2016-12-04,42
2016-12-11,41
2016-12-18,37
2016-12-25,28
2017-01-01,46
2017-01-08,57
2017-01-15,62
2017-01-22,62
2017-01-29,62
2017-02-05,58
2017-02-12,58
2017-02-19,55
2017-02-26,61
2017-03-05,56
2017-03-12,60
2017-03-19,55
2017-03-26,59
2017-04-02,53
2017-04-09,41
2017-04-16,53
2017-04-23,55
2017-04-30,56
2017-05-07,55
2017-05-14,48
2017-05-21,49
2017-05-28,53
2017-06-04,53
2017-06-11,54
2017-06-18,47
2017-06-25,48
2017-07-02,48
2017-07-09,45
2017-07-16,55
2017-07-23,55
2017-07-30,50
2017-08-06,55
2017-08-13,49
2017-08-20,51
2017-08-27,48
2017-09-03,50
2017-09-10,43
2017-09-17,42
2017-09-24,40
2017-10-01,38
2017-10-08,40
2017-10-15,37
2017-10-22,44
2017-10-29,47
2017-11-05,46
2017-11-12,48
2017-11-19,46
2017-11-26,48
2017-12-03,43
2017-12-10,41
2017-12-17,33
2017-12-24,29
2017-12-31,48
2018-01-07,56
2018-01-14,54
2018-01-21,57
2018-01-28,58
2018-02-04,60
2018-02-11,59
2018-02-18,59
2018-02-25,48
2018-03-04,51
2018-03-11,63
2018-03-18,57
2018-03-25,55
2018-04-01,51
2018-04-08,53
2018-04-15,52
2018-04-22,51
2018-04-29,54
2018-05-06,53
2018-05-13,45
2018-05-20,48
2018-05-27,52
2018-06-03,44
